n_steps: 200000
num_particles: 32
n_y: 64
lr: 0.001
realnvp_architecture: [15, 100]
step 167000: loss = 1.246,
step 168000: loss = 1.249,
step 169000: loss = 1.533,
step 170000: loss = 1.305,
step 171000: loss = 1.151,
step 172000: loss = 1.321,
step 173000: loss = 1.322,
step 174000: loss = 1.719,
step 175000: loss = 1.476,
step 176000: loss = 1.828,
step 177000: loss = 1.252,
step 178000: loss = 1.697,
step 179000: loss = 1.323,
step 180000: loss = 2.117,
step 181000: loss = 1.494,
step 182000: loss = 1.488,
step 183000: loss = 1.002,
step 184000: loss = 1.337,
step 185000: loss = 1.428,
step 186000: loss = 1.079,
step 187000: loss = 1.215,
step 188000: loss = 1.226,
step 189000: loss = 1.285,
step 190000: loss = 1.555,
step 191000: loss = 0.988,
step 192000: loss = 1.389,
step 193000: loss = 1.476,
step 194000: loss = 1.123,
step 195000: loss = 1.178,
step 196000: loss = 1.441,
step 197000: loss = 1.286,
step 198000: loss = 1.435,
step 199000: loss = 1.133,
torch.Size([5, 4]) torch.Size([5, 2])
Groundtruth:
 xi_data=[[ 0.3354301   0.8815546  -0.20953648 -0.42672086]
 [-0.22989541 -0.12536068  0.74884576  0.7099192 ]
 [ 0.07322151 -0.12848109 -0.4071268   0.5861429 ]
 [ 0.03473756  0.33038324 -0.00806682 -0.9201538 ]
 [ 0.03867042  0.7878777  -0.4591129  -0.95894504]],
 y_data=[[ 1.6731473   1.2900836 ]
 [ 1.1469465   0.9599577 ]
 [ 1.92636    -0.18569945]
 [ 1.7687088  -0.20761617]
 [ 1.6315098  -0.04351047]]
0
Groundtruth:
 xi_data=[[ 0.3354301   0.8815546  -0.20953648 -0.42672086]],
 y_data=[[1.6731473 1.2900836]]
0_MCMC
torch.Size([1000, 4])
---------------
****************
------------------------------------------------------------------------------------------
0_AVI
torch.Size([1000, 4])
---------------
****************
------------------------------------------------------------------------------------------
**************************************************************************************************************************************************************************************************************************************
1
Groundtruth:
 xi_data=[[-0.22989541 -0.12536068  0.74884576  0.7099192 ]],
 y_data=[[1.1469465 0.9599577]]
1_MCMC
torch.Size([1000, 4])
---------------
****************
------------------------------------------------------------------------------------------
1_AVI
torch.Size([1000, 4])
---------------
****************
------------------------------------------------------------------------------------------
**************************************************************************************************************************************************************************************************************************************
2
Groundtruth:
 xi_data=[[ 0.07322151 -0.12848109 -0.4071268   0.5861429 ]],
 y_data=[[ 1.92636    -0.18569945]]
2_MCMC
torch.Size([1000, 4])
---------------
****************
------------------------------------------------------------------------------------------
2_AVI
torch.Size([1000, 4])
---------------
****************
------------------------------------------------------------------------------------------
**************************************************************************************************************************************************************************************************************************************
3
Groundtruth:
 xi_data=[[ 0.03473756  0.33038324 -0.00806682 -0.9201538 ]],
 y_data=[[ 1.7687088  -0.20761617]]
3_MCMC
torch.Size([1000, 4])
---------------
****************
------------------------------------------------------------------------------------------
3_AVI
torch.Size([1000, 4])
---------------
****************
------------------------------------------------------------------------------------------
**************************************************************************************************************************************************************************************************************************************
4
Groundtruth:
 xi_data=[[ 0.03867042  0.7878777  -0.4591129  -0.95894504]],
 y_data=[[ 1.6315098  -0.04351047]]
4_MCMC
torch.Size([1000, 4])
---------------
****************
------------------------------------------------------------------------------------------
4_AVI
torch.Size([1000, 4])
---------------
****************
------------------------------------------------------------------------------------------
**************************************************************************************************************************************************************************************************************************************
